name,wc,n_fights,tier_label,tier_score,best_rank,ever_champion,max_defenses,dual_weight_champ,is_incumbent,win_rate,reach_cm,ko_rate,sig_per_r,sig_acc,str_def,leg_pct,clinch_pct,body_per_r,td_per_r,td_avg_acc,td_def,sub_rate,ctrl_per_r,gnp_per_r,pct_reach,pct_striking_power,pct_striking_volume,pct_striking_accuracy,pct_striking_defense,pct_leg_kicks,pct_clinch,pct_body,pct_td_frequency,pct_td_accuracy,pct_td_defense,pct_submission,pct_control,pct_ground_pound,x,y,z
Mark Bocek,Lightweight,13,E,12,,False,0.0,False,False,0.7058823529411765,190.5,0.0,11.1935,0.4365,0.6051,0.1758,0.3084,2.3870967741935485,1.1613,36.0,0.3125,0.3077,156.3226,4.3548,9.15,2.21,3.07,4.64,8.24,6.47,9.46,4.3,9.56,5.09,1.64,9.29,9.93,9.22,2.4921,0.0686,0.8872
Mark Coleman,Light Heavyweight,12,B,61,,True,0.0,False,False,0.6153846153846154,190.5,0.25,11.5714,0.5548,0.3969,0.0247,0.1523,0.8095238095238095,1.1905,40.0,0.75,0.25,120.0,7.5714,4.15,7.69,3.28,9.23,1.18,1.25,6.67,1.32,9.6,6.01,7.9,8.82,9.44,9.94,2.5895,1.0525,0.6167
Mark De La Rosa,Bantamweight,7,D,35,13.0,False,0.0,False,False,0.6875,165.1,0.0,14.5,0.3546,0.489,0.1916,0.0996,2.888888888888889,0.1667,13.0,0.4,0.1429,32.0,0.8333,1.51,2.21,5.14,1.68,2.67,7.01,4.44,5.38,3.1,1.7,2.23,7.04,3.55,2.66,-0.2876,-0.6918,-0.1098
Mark Hominick,Featherweight,7,E,10,,False,0.0,False,False,0.625,172.72,0.1429,16.3333,0.4261,0.6725,0.0646,0.0442,3.5555555555555554,0.1111,66.0,0.6364,0.1429,20.0,1.8333,2.01,5.23,6.27,4.14,9.79,1.97,1.89,6.72,2.34,9.5,5.49,7.04,2.42,5.64,-0.8668,0.3382,-1.1526
Mark Hunt,Heavyweight,18,C,51,4.0,False,0.0,False,False,0.48148148148148145,182.88,0.3889,10.413,0.4335,0.4905,0.1044,0.071,1.108695652173913,0.1522,55.0,0.6579,0.0,25.7174,0.8696,1.13,9.16,2.66,4.51,2.71,3.5,3.11,1.75,2.88,8.74,5.94,3.07,2.92,2.79,-0.7113,0.266,-1.0998
Mark Madsen,Lightweight,6,E,14,,False,0.0,False,False,0.8571428571428571,182.88,0.1667,16.0,0.4945,0.5247,0.1071,0.1964,2.357142857142857,0.8571,66.0,0.625,0.0,70.2857,2.5714,6.44,5.94,6.06,7.37,4.27,3.65,7.93,4.2,8.81,9.5,5.23,3.07,7.17,7.34,0.4343,-0.6632,-0.9826
Mark Munoz,Middleweight,15,C,47,5.0,False,0.0,False,False,0.7,180.34,0.2667,13.1333,0.5038,0.5652,0.1244,0.2487,3.8,0.9333,29.0,0.5676,0.0,85.7333,5.7333,1.29,7.89,4.23,7.81,6.34,4.46,8.92,7.15,9.12,3.49,4.21,3.07,8.17,9.71,1.6471,-0.3201,0.7616
Markus Perez,Middleweight,7,E,10,,False,0.0,False,False,0.7058823529411765,185.42,0.0,12.0,0.4729,0.5291,0.0938,0.2969,5.0,0.25,25.0,0.7727,0.2857,47.1875,0.5625,2.96,2.21,3.54,6.32,4.49,3.04,9.38,8.67,4.25,2.81,8.27,9.09,5.26,2.03,-0.0188,-0.1392,-0.0207
Marlon Moraes,Bantamweight,11,C+,58,1.0,False,0.0,False,False,0.696969696969697,170.18,0.1818,13.8095,0.4062,0.5417,0.1897,0.0138,2.1904761904761907,0.2381,41.0,0.4615,0.0909,17.2857,0.9048,3.0,6.31,4.62,3.22,5.09,6.95,1.12,3.84,4.09,6.28,2.79,5.95,2.13,2.92,-1.1034,0.2823,-0.7388
Marlon Vera,Bantamweight,26,C+,54,3.0,False,0.0,False,False,0.696969696969697,177.8,0.2692,19.7333,0.4759,0.5011,0.2432,0.0986,4.253333333333333,0.1467,39.0,0.7174,0.1538,24.52,2.0133,7.28,7.92,7.97,6.49,3.05,8.51,4.4,7.89,2.81,5.75,7.25,7.29,2.8,6.15,-0.6833,1.3553,-0.0609
