fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Joshua Van,Flyweight,B+,4.0,True,0.9090909090909091,32,4,0.8699186991869918,0.07642276422764227,0.05365853658536585,0.7252032520325203,0.1910569105691057,0.08373983739837398,0.5736940298507462,0.25,0.6153846153846154,20.0,0.0625,0.21875,67.0
Julia Avila,Women's Bantamweight,D,1.0,False,0.5,16,2,0.7889447236180904,0.1658291457286432,0.04522613065326633,0.5879396984924623,0.18090452261306533,0.23115577889447236,0.42430703624733473,0.1875,0.375,48.4375,0.0625,0.0625,29.3125
Julia Polastri,Women's Strawweight,E,0.0,False,0.4,15,4,0.8149779735682819,0.1299559471365639,0.05506607929515418,0.5925110132158591,0.2687224669603524,0.13876651982378854,0.5805626598465473,0.2,0.75,35.733333333333334,0.06666666666666667,0.0,52.13333333333333
Julian Erosa,Featherweight,E,0.0,False,0.5,35,0,0.776608187134503,0.16257309941520467,0.0608187134502924,0.6619883040935672,0.2432748538011696,0.09473684210526316,0.4795288839035334,0.4857142857142857,0.4473684210526316,37.17142857142857,0.2,0.02857142857142857,50.94285714285714
Julian Marquez,Middleweight,E,0.0,False,0.375,15,0,0.6687898089171974,0.2229299363057325,0.10828025477707007,0.7707006369426752,0.16560509554140126,0.06369426751592357,0.4498567335243553,0.0,0.0,14.466666666666667,0.7333333333333333,0.06666666666666667,46.53333333333333
Juliana Lima,Women's Strawweight,D,1.0,False,0.42857142857142855,20,1,0.44086021505376344,0.34946236559139787,0.20967741935483872,0.45161290322580644,0.26344086021505375,0.2849462365591398,0.44075829383886256,0.55,0.3142857142857143,108.0,0.0,0.0,21.1
Julianna Pena,Women's Bantamweight,B,3.0,True,0.6666666666666666,33,0,0.6186612576064908,0.13184584178498987,0.24949290060851928,0.7849898580121704,0.18661257606490872,0.028397565922920892,0.44454463480613166,0.5454545454545454,0.5454545454545454,82.03030303030303,0.24242424242424243,0.0,33.60606060606061
Julija Stoliarenko,Women's Bantamweight,E,0.0,False,0.2222222222222222,21,2,0.9011406844106464,0.07604562737642585,0.022813688212927757,0.6121673003802282,0.19391634980988592,0.19391634980988592,0.3890532544378698,0.23809523809523808,0.20833333333333334,28.142857142857142,0.42857142857142855,0.0,32.19047619047619
Julio Arce,Featherweight,E,0.0,False,0.6,27,2,0.9145129224652088,0.07157057654075547,0.013916500994035786,0.7176938369781312,0.23061630218687873,0.05168986083499006,0.3485793485793486,0.14814814814814814,0.2857142857142857,18.48148148148148,0.1111111111111111,0.1111111111111111,53.44444444444444
JunYong Park,Middleweight,E,0.0,False,0.6923076923076923,33,0,0.8355795148247979,0.07008086253369272,0.09433962264150944,0.807277628032345,0.09568733153638814,0.09703504043126684,0.5156358582348853,0.5454545454545454,0.42857142857142855,86.78787878787878,0.2727272727272727,0.030303030303030304,43.60606060606061
Junior Dos Santos,Heavyweight,B+,4.0,True,0.6818181818181818,58,4,0.8494138863841298,0.08476104598737602,0.06582506762849413,0.6149684400360685,0.3408476104598738,0.04418394950405771,0.47946389969736275,0.08620689655172414,0.5,7.862068965517241,0.017241379310344827,0.2413793103448276,39.87931034482759
Jussier Formiga,Flyweight,C+,2.0,False,0.5625,38,0,0.7159533073929961,0.11673151750972763,0.16731517509727625,0.7354085603112841,0.1556420233463035,0.10894941634241245,0.39599383667180277,0.5789473684210527,0.3548387096774194,83.13157894736842,0.18421052631578946,0.05263157894736842,17.07894736842105
Justin Edwards,Welterweight,E,0.0,False,0.2857142857142857,17,1,0.5458937198067633,0.36231884057971014,0.09178743961352658,0.6328502415458938,0.27053140096618356,0.0966183574879227,0.4215885947046843,0.6470588235294118,0.2682926829268293,54.94117647058823,0.29411764705882354,0.058823529411764705,28.88235294117647
